dcterms:identifier,dcterms:extent,dcterms:title,dcterms:spatial
476,1.12,River Esplanade Park,"401 E River Dr Chicago, IL 60611"
477,1.38,Ogden Plaza Park,"429 N Columbus Dr Chicago, IL 60611"
478,3.43,DuSable Park,"401 N Lake Shore Dr Chicago, IL 60611"
479,1.3,Jones Park,"1240 S Plymouth Ct Chicago, IL 60616"
480,2.38,Cotton Tail Park,"44 W 15th St Chicago, IL 60616"
481,17.53,Ping Tom Memorial Park,"300 W 18th St Chicago, IL 60616"
482,1.14,Nash Community Center Park,"1833 E 71st St Chicago, IL 60649"
484,12.75,Madigan Park,"4701 W Marquette Rd Chicago, IL 60638"
485,2.89,Kennicott Park,"4434 S Lake Park Ave Chicago, IL 60653"
486,22.73,Winnemac Park,"5001 N Leavitt St Chicago, IL 60625"
487,0.51,Broncho Billy Park,"4437 N Magnolia Ave Chicago, IL 60640"
488,2.94,Challenger Park,"1100 W Irving Park Rd Chicago, IL 60613"
490,1.21,Ridge Park Wetlands,"9516 S Wood St Chicago, IL 60643"
492,9.29,Armstrong Park,"4433 S St Lawrence Chicago, IL 60653"
493,1.39,Kelly (John) Park,"3800 N Seminary Ave Chicago, IL 60613"
494,25.4,Washington (Harold) Park,"5200 S Hyde Park Blvd Chicago, IL 60615"
496,1.81,Boler Park,"3601 W Arthington St Chicago, IL 60624"
497,2.13,Starr Park,"2306 W Maypole Ave Chicago, IL 60612"
499,7.68,Beniac Greenway Park,"3925 E 104th St Chicago, IL 60617"
500,1.33,Park 500,"730 S Springfield Ave Chicago, IL 60624"
501,0.33,Parsons Park,"4701 W Belmont Ave Chicago, IL 60641"
502,2.43,Canal Origins Park,"2701 S Ashland Ave Chicago, IL 60608"
503,15.47,Schafer Park,"8900 S Green Bay Ave Chicago, IL 60617"
504,10.01,Mandrake Park,"900 E Pershing Rd. Chicago, IL 60653"
505,0.64,Nottingham Park,"7101 W 63rd St Chicago, IL 60638"
506,0.21,Washington (Harold) Memorial Park,"7710 N Paulina St Chicago, IL 60626"
507,0.75,Coliseum Park,"1466 S Wabash Av Chicago, IL 60605"
509,1.28,Renaissance Park,"1300 W 79th St Chicago, IL 60620"
510,2.63,Livingston Field Park,"2139-59 W. Lexington St Chicago, IL 60612"
511,2.92,Montgomery Ward Park,"630 N Kingsbury Ave Chicago, IL 60610"
512,3.46,Park 512,"1800 N Ashland Ave Chicago, IL 60614"
513,1.31,Webster Park,"1401 S Indiana Ave Chicago, IL 60605"
514,0.7,Park 514,"1434 N Monticello Ave Chicago, IL 60651"
515,5.46,Homan Square Community Center Park,"3517 W Arthington St Chicago, IL 60624"
516,5.2,Canalport Riverwalk Park,"2900 S Ashland Ave Chicago, IL 60608"
517,0.65,Park 517,"5914-5924 N Sheridan Rd Chicago, IL 60660"
518,2.19,Triangle Park,"1750 W Juneway Ter Chicago, IL 60626"
519,0.08,Park 519,"1944 S St. Louis Ave Chicago, IL 60623"
520,0.16,Honor<U+FFFD> Park,"916 N Honore St Chicago, IL 60622"
521,0.16,Warner Garden Park,"1426 W Warner Ave Chicago, IL 60613"
522,1.97,Wang Park,"1719 W Wolfram St Chicago, IL 60657"
523,16.92,Steelworkers Park,"E 87th St At The Lake Chicago, IL 60617"
524,2.37,Harris (Harriet) Park,"6200 S Drexel Ave Chicago, IL 60637"
526,7.53,Stone Park,"3200 W Peterson Ave Chicago, IL 60659"
527,5.75,Park 527,"6200 S Lasalle St Chicago, IL 60621"
528,5.78,Park 528,"6336 S Kilbourn Ave Chicago, IL 60629"
529,0.54,Park 529,"2155 W Wabansia Ave Chicago, IL 60647"
530,2.67,Daley Park,"3150 S Western Ave Chicago, IL 60608"
531,27.05,Palmisano Park,"2850 S Halsted St Chicago, IL 60608"
532,2.89,Williams- Davis Park,"4101 S. Lake Park Ave Chicago, IL 60653"
533,58.11,North Park Nature Ctr,"5801 N Pulaski Rd Chicago, IL 60646"
534,3.65,Park 534,"1300 S St Louis Ave Chicago, IL 60623"
535,0.14,Park 535,"800 W Wisconsin St Chicago, IL 60614"
536,0.32,Park 536,"1401 N Noble St Chicago, IL 60622"
537,1.11,Heritage Green Park,"610-30 W Adams St Chicago, IL 60661"
538,32.67,Park 538,"6400 N Kedzie Chicago, IL 60645"
539,8.09,Palmer Square Park,"2200 N Kedzie Ave Chicago, IL 60647"
540,5.01,Park 540,"2401 S Federal St Chicago, IL 60616"
541,1.1,Pritzker Park,"301-52 S State St Chicago, IL 60604"
542,2.71,Bartelme Park,"115 S. Sangamon St Chicago, IL 60602"
543,0.4,Park 543,"640 S. Federal St. Chicago, IL 60605"
544,0.38,Klein Park,"3538-40 N Lincoln Ave Chicago, IL 60657"
546,5.83,Park 546,"450 E. Benton Place Chicago, IL 60611"
547,0.46,Battle of Fort Dearborn Park,"1801 S Calumet Ave Chicago, IL 60616"
548,34.28,Major Taylor Bike Trail Park,NA
549,1.61,Logan Square Skate Park Park,"2430 W Logan Blvd Chicago, IL 60647"
550,3.06,Chicago Women's Park,"1801 S Indiana Ave Chicago, IL 60616"
551,1.31,Park 551,"353 N Des Plaines St Chicago, IL 60661"
552,0.31,Park 552,"4901 W Belmont Ave Chicago, IL 60641"
553,22.77,La Villita Park,"2800 S Sacramento Ave Chicago, IL 60608"
554,0.51,De Burgos Park,"1805 N Albany Ave Chicago, IL 60647"
555,11.83,Sauganash Trail Park,"4400 W Devon Ave Chicago, IL 60626"
556,0.57,Park 556,"2529 W Logan Blvd Chicago, IL 60647"
557,2.02,North Boundary Park,"7211-7355 N Kedzie Ave Chicago, IL 60645"
558,0.56,King- Lockhart Park,"10609-15 S Western Ave Chicago, IL 60643"
559,0.61,Park 559,"6151 N Sheridan Rd Chicago, IL 60660"
560,1.67,White (Jesse) Park,"410 W Chicago Ave Chicago, IL 60654"
561,1.08,Anderson (Fred) Park,"1629 S Wabash Chicago, IL 60616"
562,141.39,Byrnes Park,"1735-37 E 96th St Chicago, IL 60643"
563,130.45,Hegewisch Marsh Park,"13000 S Torrence Ave Chicago, IL 60633"
564,295.29,Big Marsh Park,"11555 S Stony Island Ave Chicago, IL 60617"
566,70.3,Park 566,"7901 S Farragut Chicago, IL 60617"
567,0.33,Park 567,"1799 N Milwaukee Ave Chicago, IL 60647"
568,23.68,Park 568,"5601 N Western Ave Chicago, IL 60659"
569,0.4,Park 569,"1358 W Monroe St Chicago, IL 60607"
570,0.53,Donahue Park,"1230 W School St Chicago, IL 60657"
571,4.41,Park 571,"2754-2860 S Eleanor St Chicago, IL 60608"
573,2.36,Park 573,"701 E 114th St Chicago, IL 60628"
574,2.21,Park 574,"2540 W Jackson Blvd Chicago, IL 60612"
576,144.94,Park 576,"2100 E 134th St Chicago, IL 60633"
577,2.63,Morgan Park Sports Ctr,"11505 S. Western Av Chicago, IL 60643"
578,1.757,Park 578,"1919 W Maypole Ave Chicago, IL 60612"
580,7.02,Park 580,"4030 N Oak Park Ave Chicago, IL 60634"
581,7.4,Park 581,"11625 S Oakley Ave Chicago, IL 60643"
1001,109.13,Rainbow Beach Park,"2873 E 75th St Chicago, IL 60649"
1002,12.78,Clarendon Community Center Park,"4501 N Clarendon Ave Chicago, IL 60640"
1003,1.27,Beilfuss Park,"1725 N Springfield Ave Chicago, IL 60647"
1004,4.24,Bradley Park,"9729 S Yates Ave Chicago, IL 60617"
1005,2.96,Block Park,"346 W 104th St Chicago, IL 60628"
1006,1.51,Commercial Club Park,"1845 W Rice St Chicago, IL 60622"
1008,4.36,Hermitage Park,"5839 S Wood St Chicago, IL 60636"
1010,7.08,Kenwood Comm. Park,"1330 E 50th St Chicago, IL 60615"
1011,4.82,Lawler Park,"5210 W 64th St Chicago, IL 60638"
1012,9.19,O'Hallaren Park,"8335 S Honore St Chicago, IL 60620"
1013,2.74,Leone Beach Park,"1222 W Touhy Ave Chicago, IL 60626"
1014,6.4,Sherwood Park,"5705 S Shields Ave Chicago, IL 60621"
1015,10.53,Smith (Joseph Higgins) Park,"2526 W Grand Ave Chicago, IL 60612"
1016,4.35,Strohacker Park,"4347 W 54th St Chicago, IL 60632"
1017,1.85,Trebes Park,"2250 N Clifton Ave Chicago, IL 60614"
1018,0.21,Wilson (John) Community Center Park,"3225 S Racine Ave Chicago, IL 60608"
1019,0.78,Adams (George & Adele) Park,"1919 N Seminary Ave Chicago, IL 60614"
1020,0.99,Anderson (Louis) Park,"3748 S Prairie Ave Chicago, IL 60653"
1021,1.05,Augusta Park,"4431 W Augusta Blvd Chicago, IL 60651"
1022,0.7,Barrett Park,"2022 W Cermak Rd Chicago, IL 60608"
1024,2.15,Bosley Park,"3044 S Bonfield St Chicago, IL 60608"
1025,4.93,Taylor- Lauridsen Park,"647 W Root St Chicago, IL 60609"
1026,2.2,Clark (John) Park,"4615 W Jackson Blvd Chicago, IL 60644"
1027,0.66,Dean Park,"1356 N Dean St Chicago, IL 60622"
1028,1.26,Micek Park,"5311 S Hamilton Ave Chicago, IL 60609"
1029,3.24,Donovan Park,"3620 S Lituanica Ave Chicago, IL 60609"
1030,3.76,Fosco Park,"1313 S Throop St Chicago, IL 60608"
1031,1.55,Gross Park,"2708 W Lawrence Ave Chicago, IL 60625"
1032,1.78,Haas Park,"2402 N Washtenaw Ave Chicago, IL 60647"
1033,0.75,Harding (George) Park,"4912 S Calumet Ave Chicago, IL 60615"
1035,3.22,Horan Park,"3035 W Van Buren St Chicago, IL 60612"
1036,2.38,Hoyne Park,"3417 S Hamilton Ave Chicago, IL 60608"
1037,1.48,Durso Park,"421 W Locust St Chicago, IL 60610"
1038,3.5,Indian Road Park,"6010 W Matson Ave Chicago, IL 60646"
1039,1.68,Kedvale Park,"4140 W Hirsch St Chicago, IL 60651"
1040,1.93,Kells Park,"3201 W Chicago Ave Chicago, IL 60624"
1041,4.88,Kensington Park,"345 E 118th St Chicago, IL 60628"
1042,2.94,Ken-Well Park,"2945 N Kenosha Ave Chicago, IL 60641"
1043,3.31,White (Willye) Park,"7631 N Ashland Ave Chicago, IL 60626"
1044,4.42,Lowe Park,"5203 S Lowe Ave Chicago, IL 60609"
1045,1.32,Maplewood Park,"1640 N Maplewood Ave Chicago, IL 60647"
1046,0.96,Marshfield Park,"1637 W 87th St Chicago, IL 60620"
1047,2.55,Garibaldi Park,"1520 W Polk St Chicago, IL 60607"
1048,2.99,Memorial Park,"149 W 73rd St Chicago, IL 60621"
1049,3.1,Meyering Park,"7140 S Dr Martin Luther King J Chicago, IL 60619"
1050,3.74,Moore Park,"5085 W Adams St Chicago, IL 60644"
1051,1.94,Moran Park,"5727 S Racine Ave Chicago, IL 60621"
1052,5.69,Munroe Park,"2617 W 105th St Chicago, IL 60655"
1053,3.51,Murray Park,"1743 W 73rd St Chicago, IL 60636"
1054,2.89,Normandy Park,"6660 W 52nd St Chicago, IL 60638"
1055,0.96,Little Venice Park,"2251 W 50th Pl Chicago, IL 60609"
1056,0.79,Park-View Park,"3823 W School St Chicago, IL 60618"
1057,1,Paschen Park,"1932 W Lunt Ave Chicago, IL 60626"
1058,0.67,Pietrowski Park,"9650 S Avenue M Chicago, IL 60617"
1060,2.18,McKiernan Park,"10714 S Sawyer Ave Chicago, IL 60655"
1061,2.15,Schreiber Park,"1552 W Schreiber Ave Chicago, IL 60626"
1062,0.74,Kucinski- Murphy Park,"1635 W 33rd Pl Chicago, IL 60608"
1063,1.07,Back of the Yards Park,"4920 S Throop St Chicago, IL 60609"
1064,1.14,Tilton Park,"305 N Kostner Chicago, IL 60624"
1065,3.26,Touhy- Herbert Park,"2106 W Adams St Chicago, IL 60612"
1066,0.49,Limas Park,"2410 S Trumbull Ave Chicago, IL 60623"
1067,4.81,Veterans' Memorial Park,"2820 E 98th St Chicago, IL 60617"
1068,1.07,Wagner Park,"948 W 51st St Chicago, IL 60609"
1069,1.04,Wallace Park,"607 W 92nd St Chicago, IL 60620"
1070,1.02,Washtenaw Park,"2521 S Washtenaw Ave Chicago, IL 60608"
1071,1.55,Wilson (John) Park,"1122 W 34th Pl Chicago, IL 60608"
1072,4.47,Wolfe Park,"3325 E 108th St Chicago, IL 60617"
1073,2.46,Woodhull Park,"7340 S East End Ave Chicago, IL 60649"
1074,4.64,Wrightwood Park,"2534 N Greenview Ave Chicago, IL 60614"
1077,0.44,Langdon Park,"1754 W Albion Ave Chicago, IL 60626"
1078,0.24,Andersonville Park,"5233 N Ashland Ave Chicago, IL 60640"
1079,0.18,Krause Park,"10558 S Avenue L Chicago, IL 60617"
1080,0.46,Wesolek Park,"13407 S Avenue M Chicago, IL 60633"
1083,1.03,Bixler Park,"5641 S Kenwood Ave Chicago, IL 60637"
1084,0.45,Buena Circle Park,"1049  W Buena Chicago, IL 60613"
1085,0.16,Carmen Park,"1224 W Carmen Ave Chicago, IL 60640"
1086,0.28,Carpenter Park,"6155 S Carpenter St Chicago, IL 60621"
1087,0.24,Central Park,"721 N Central Park Ave Chicago, IL 60624"
1089,0.16,Christiana Park,"1533 S Christiana Ave Chicago, IL 60623"
1090,0.28,Korczak Park,"6156 N Claremont Ave Chicago, IL 60659"
1091,0.49,Clybourn Park,"1755 N Clybourn Ave Chicago, IL 60614"
1092,0.29,Davis (Margaret) Park,"5427 W Division St Chicago, IL 60651"
1093,0.37,DeGeorge Park,"4905 W Wabansia Ave Chicago, IL 60639"
1094,0.34,Dobson Park,"7521 S Dobson Ave Chicago, IL 60619"
1097,0.52,Elston Park,"3461 N Troy St Chicago, IL 60618"
1098,0.24,Emerald Park,"5600 S Emerald Ave Chicago, IL 60621"
1100,0.79,Fellger Park,"2012 W Belmont Ave Chicago, IL 60618"
1102,0.42,Gladys Park,"3307 W Gladys Ave Chicago, IL 60624"
1103,0.39,Grand Park,"3531 W Grand Ave Chicago, IL 60651"
1106,0.44,Harding (Frederick) Park,"3921 W Division St Chicago, IL 60651"
1107,0.22,Zatterberg Park,"4246 N Hermitage Ave Chicago, IL 60613"
1108,0.2,Homan Park,"2148 S Homan Ave Chicago, IL 60623"
1109,0.62,Hubbard Park,"4950 W Hubbard St Chicago, IL 60644"
1111,0.72,Hansberry Park,"5635 S Indiana Ave Chicago, IL 60637"
1112,0.27,Jackson (Robert) Park,"4319 S Indiana Ave Chicago, IL 60653"
1113,1.98,Jefferson (Thomas) Park,"1630 S Jefferson St Chicago, IL 60616"
1114,0.07,Keeler Park,"1243 S Keeler Ave Chicago, IL 60623"
1115,0.16,Kenmore Park,"3141 N Kenmore Ave Chicago, IL 60657"
1116,0.26,Keystone Park,"1655 N Keystone Ave Chicago, IL 60639"
1118,1.19,Langley Park,"700 E 113th St Chicago, IL 60628"
1119,0.9,Thuis Park,"4800 N Lavergne Ave Chicago, IL 60630"
1120,0.18,London Park,"3432 W 18th St Chicago, IL 60623"
1121,0.42,Humbert Park,"632 W 31st St Chicago, IL 60616"
1122,1.38,Luella Park,"10021 S Luella Ave Chicago, IL 60617"
1123,0.2,Lunt Park,"2239 W Lunt Ave Chicago, IL 60645"
1124,0.21,Merryman Park,"3736 N Marshfield Ave Chicago, IL 60613"
1126,3.16,Merrill Park,"2131 E 96th St Chicago, IL 60617"
1127,0.16,Millard Park,"1331 S Millard Ave Chicago, IL 60623"
1128,0.13,Miller Park,"848 S Miller St Chicago, IL 60607"
1129,0.38,Montgomery Park,"2632 W 66th St Chicago, IL 60629"
1130,0.41,Monticello Park,"1814 N Monticello Ave Chicago, IL 60647"
1132,3.22,Morgan Field Park,"11710 S Morgan St Chicago, IL 60643"
1133,0.15,Nelson Park,"2953 W Nelson St Chicago, IL 60618"
1135,0.4,Weisman Park,"901 W Oakdale Ave Chicago, IL 60657"
1137,0.48,Oakley Park,"6441 S Oakley Ave Chicago, IL 60636"
1138,0.56,Ohio & Harding Park,"607 N Harding Ave Chicago, IL 60624"
1139,0.48,Ohio Park,"4712 W Ohio St Chicago, IL 60644"
1141,0.15,Brynford Park,"5640 N Pulaski Rd Chicago, IL 60646"
1143,0.42,Supera Park,"2528 N Racine Ave Chicago, IL 60614"
1145,0.17,Wendt Park,"667 W Roscoe St Chicago, IL 60657"
1147,0.93,Sacramento Park,"3520 N Sacramento Ave Chicago, IL 60618"
1148,0.25,Schaefer Park,"2415 N Marshfield Ave Chicago, IL 60614"
1149,0.45,Saint Louis Park,"347 N St Louis Ave Chicago, IL 60624"
1150,0.34,Superior Park,"2101 W Superior St Chicago, IL 60612"
1151,0.22,Summerdale Park,"7262 W Summerdale Ave Chicago, IL 60656"
1154,0.66,Till-Mobley Park,"6410 S Ellis Ave Chicago, IL 60637"
1155,0.2,Sintic Park,"2835 S Wallace St Chicago, IL 60616"
1159,0.72,Throop Park,"1811 S Throop St Chicago, IL 60608"
1161,0.16,Algonquin Park,"2941 N Washtenaw Ave Chicago, IL 60618"
1162,0.49,McKeon Park,"600 W 36th St Chicago, IL 60609"
1164,0.98,Mason Park,"4100 W West End Ave Chicago, IL 60624"
1165,0.28,Western Park,"907 N Western Ave Chicago, IL 60622"
1168,0.21,Park West,"745 W Wrightwood Ave Chicago, IL 60614"
1199,1.01,Adams (John) Park,"7535 S Dobson Ave Chicago, IL 60619"
1200,0.33,Connors Park,"871 N Wabash Ave Chicago, IL 60611"
1201,1.22,Arcade Park,"11144 S St Lawrence Ave Chicago, IL 60628"
1203,5.36,Auburn Park,"406 W Winneconna Pkwy Chicago, IL 60620"
1204,4.67,Austin Park,"5951 W Lake St Chicago, IL 60644"
1205,2.38,Barnard Park,"10441 S Longwood Dr Chicago, IL 60643"
1206,0.14,Mid-North Park,"401 W Belden Ave Chicago, IL 60614"
1207,0.72,Bickerdike Square Park,"1438 W Ohio St Chicago, IL 60622"
1209,0.2,Chamberlain Triangle Park,"4233 S Greenwood Ave Chicago, IL 60653"
1210,6.72,Dixon Park,"8931 S Dauphin Ave Chicago, IL 60619"
1211,1.22,Dickinson Park,"4117 N Lavergne Ave Chicago, IL 60641"
1212,1.35,Green Park,"6500 N Algonquin Ave Chicago, IL 60646"
1213,9.86,Ellis Park,"600 E 37th St Chicago, IL 60653"
1214,0.06,Eugenie Triangle Park,"1707 N La Salle St Chicago, IL 60614"
1215,9.29,Fernwood Pkwy Park,"9501 S Eggleston Ave Chicago, IL 60628"
1216,0.57,Hodes Park,"1607 E 73rd St Chicago, IL 60649"
1217,0.96,Kinzie Pkwy Park,"5200 W Kinzie St Chicago, IL 60644"
1218,2.82,Lily Gardens Park,"632 W 71st St Chicago, IL 60621"
1219,0.28,Mellin Park,"1600 W Bryn Mawr Ave Chicago, IL 60640"
1220,7.04,Levin Park,"462 N Pine Ave Chicago, IL 60644"
1222,0.07,Mulberry Point Park,"5873 N Nina Ave Chicago, IL 60631"
1223,1.72,Myrtle Grove Park,"6113 N Neva Ave Chicago, IL 60631"
1224,5.78,Addams (Jane) Memorial Park,"485 E Ohio St Chicago, IL 60611"
1225,3.12,Harris (Ryan) Memorial Park,"6701 S Lowe Ave Chicago, IL 60621"
1226,2.6,Norwood Circle Park,"7117 W Peterson Ave Chicago, IL 60631"
1237,1.01,Pullman Park,"11113 S Cottage Grove Ave Chicago, IL 60628"
1238,1.27,Centennial Park,"6086 N Northwest Hwy Chicago, IL 60631"
1239,0.18,Mariano Park,"1031 N Rush St Chicago, IL 60611"
1242,1.01,Seneca Park,"228 E Chicago Ave Chicago, IL 60611"
1244,2.84,Washington Square Park,"901 N Clark St Chicago, IL 60610"
1248,2.24,Hartigan Beach Park,"1040 W Albion Ave Chicago, IL 60626"
1251,0.95,Doria Beach Park,"1040 W Columbia Ave Chicago, IL 60626"
1253,0.61,Fargo Beach Park,"1300 W Fargo Ave Chicago, IL 60626"
1255,3.5,Berger Park,"6227 N Sheridan Rd Chicago, IL 60660"
1256,1.06,Howard Beach Park,"1300 W Howard St Chicago, IL 60626"
1257,1.05,Griffin Park,"1234 W Jarvis Ave Chicago, IL 60626"
1258,1.02,Juneway Beach Park,"7751 N Eastlake Ter Chicago, IL 60626"
1260,0.66,North Shore Beach Park,"1040 W North Shore Ave Chicago, IL 60626"
1261,2.31,Prinz Beach Park,"1050 W Pratt Blvd Chicago, IL 60626"
1262,2.37,Rogers Beach Park,"7705 N Eastlake Terrace Chicago, IL 60626"
1265,2.9,Lane Beach Park,"1000 W Thorndale Ave Chicago, IL 60660"
1267,1.74,Lyle Park,"7700 S Wallace St Chicago, IL 60620"
1268,72.5,Midway Plaisance Park,"5950 S Woodlawn Ave Chicago, IL 60637"
1270,3.27,Jonquil Park,"1023 W Wrightwood Ave Chicago, IL 60614"
1272,0.41,Butternut Park,"5324 S Woodlawn Ave Chicago, IL 60615"
1273,0.81,Sumac Park,"4201 S Champlain Ave Chicago, IL 60653"
1274,0.64,Sycamore Park,"5109 S Greenwood Ave Chicago, IL 60615"
1275,0.5,Chestnut Park,"7005 S Dante Ave Chicago, IL 60637"
1276,0.15,Evergreen Park,"631 W Belmont Ave Chicago, IL 60657"
1277,0.41,Clover Park,"2210 N Southport Ave Chicago, IL 60614"
1278,0.53,Ruiz Park,"3801 W 45th St Chicago, IL 60632"
1279,0.38,Cedar Park,"5315 N Winthrop Ave Chicago, IL 60640"
1280,0.4,Aiello Park,"2133 N Mcvicker Ave Chicago, IL 60639"
1281,0.12,Filbert Park,"1822 W Larchmont Ave Chicago, IL 60613"
1283,0.17,Maple Park,"2047 N Spaulding Ave Chicago, IL 60647"
1284,0.68,Mulberry Park,"3150 S Robinson Ct Chicago, IL 60608"
1286,0.34,Lee Park,"3700 W 87th St Chicago, IL 60652"
1287,0.36,Pine Park,"9507 S Oglesby Ave Chicago, IL 60617"
1288,0.39,Jacolik Park,"2731 S Eleanor St Chicago, IL 60608"
565,143.35,Park 565,"11600 S Torrence Ave Chicago, IL 60617"
572,16.76,Park 572,"1601-3701 W Bloomingdale Ave Chicago, IL 60647"
582,1,Park 582,"9202-35 S Vanderpoel Ave Chicago, IL 60643"
583,0.24,Park 583,"10108 S Exchange Ave Chicago, IL 60617"
585,0.09,Park 585,"6049 S Whipple St Chicago, IL 60629"
586,0.07,Park 586,"7208 S Maplewood Ave Chicago, IL 60629"
587,0.11,Park 587,"658 E 95th St Chicago, IL 60619"
584,0.36511340773,Park 584,"134 W 119th St Chicago, IL 60628"
588,0.23,Park 588,"10440-44 S Corliss Ave Chicago, IL 60628"
595,13.7,Park 595,"247 W 128th St Chicago, IL 60628"
594,0.07,Park 594,"3159 S Halsted St Chicago, IL 60608"
589,0.27,Park 589,"227 W 110th Pl Chicago, IL 60628"
590,0.28,Park 590,"3938-40 S Indiana Ave Chicago, IL 60653"
592,0.37,Park 592,"4149-53 S Vincennes Ave Chicago, IL 60653"
593,0.28,Park 593,"4546 N Kedvale Ave Chicago, IL 60630"
591,0.28,Park 591,"3906 S Lake Park Ave Chicago, IL 60653"
596,17.6,Park 596,"4826-40 S Western Ave Chicago, IL 60632"
597,12,Park 597,"12500 S Torrence Ave Chicago, IL 60633"
598,3.89,Park 598,"1514 N Larrabee St Chicago, IL 60610"
