schema:materialExtent,schema:name,schema:address,schema:identifier,schema:addressLocality,schema:name...18
10.3,McGuane Park,"2901 S Poplar Ave Chicago, IL 60608",Chicago_Park_2,1881,Ward 11
9.05,Armour Square Park,"3309 S Shields Ave Chicago, IL 60616",Chicago_Park_3,1881,Ward 11
11.31,Fuller Park,"331 W 45th St Chicago, IL 60609",Chicago_Park_4,1861,Ward 3
8.8,Cornell Square Park,"1809 W 50th St Chicago, IL 60609",Chicago_Park_5,1884,Ward 20
10.05,Russell Square Park,"3045 E 83rd St Chicago, IL 60617",Chicago_Park_6,1891,Ward 10
57.69,Sherman Park,"1307 W 52nd St Chicago, IL 60609",Chicago_Park_7,1884,Ward 20
57.04,Ogden Park,"6500 S Racine Ave Chicago, IL 60636",Chicago_Park_8,1863,Ward 17
28.94,Hamilton Park,"513 W 72nd St Chicago, IL 60621",Chicago_Park_9,1902,Ward 6
315.63,Marquette Park,"6734 S Kedzie Ave Chicago, IL 60629",Chicago_Park_10,1863,Ward 17
181.29,Calumet Park,"9801 S Avenue G Chicago, IL 60617",Chicago_Park_11,1891,Ward 10
20.27,Bessemer Park,"8930 S Muskegon Ave Chicago, IL 60617",Chicago_Park_12,1883,Ward 7
38.44,Palmer Park,"200 E 111th St Chicago, IL 60628",Chicago_Park_13,1870,Ward 9
8.91,Davis (Nathan) Square Park,"4430 S Marshfield Ave Chicago, IL 60609",Chicago_Park_14,1904,Ward 15
18.89,Grand Crossing Park,"7655 S Ingleside Ave Chicago, IL 60619",Chicago_Park_15,1907,Ward 8
18.04,Trumbull Park,"2400 E 105th St Chicago, IL 60617",Chicago_Park_16,1883,Ward 7
18.86,Mann Park,"3035 E 130th St Chicago, IL 60633",Chicago_Park_17,1891,Ward 10
18.7,Tuley Park,"501 E 90th Pl Chicago, IL 60619",Chicago_Park_18,1870,Ward 9
551.52,Jackson (Andrew) Park,"6401 S Stony Island Ave Chicago, IL 60637",Chicago_Park_19,1866,Ward 5
350.49,Washington (George) Park,"5531 S Dr Martin Luther King J Chicago, IL 60637",Chicago_Park_21,NA,NA
26.5,Gage Park,"2415 W 55th St Chicago, IL 60629",Chicago_Park_22,NA,NA
72.09,McKinley Park,"2210 W Pershing Rd Chicago, IL 60609",Chicago_Park_23,1871,Ward 12
295.45,Grant Park,"331 E Randolph St Chicago, IL 60605",Chicago_Park_24,NA,NA
25.2,Foster Park,"1400 W 84th St Chicago, IL 60620",Chicago_Park_26,1878,Ward 21
657.83,Burnham Park,"425 E Mcfetridge Dr Chicago, IL 60616",Chicago_Park_27,NA,NA
27.71,Avalon Park,"1215 E 83rd St Chicago, IL 60619",Chicago_Park_29,1907,Ward 8
14.3,Rainey Park,"4350 W 79th St Chicago, IL 60652",Chicago_Park_33,1875,Ward 18
117.96,Northerly Island Park,"1400 S Lynn White Dr Chicago, IL 60605",Chicago_Park_34,1882,Ward 4
38.24,Gompers Park,"4222 W Foster Ave Chicago, IL 60630",Chicago_Park_40,1899,Ward 39
17.82227698,Field Park,"5100 N Ridgeway Ave Chicago, IL 60625",Chicago_Park_41,1899,Ward 39
1.55,Kiwanis Park,"3315 W Carmen Ave Chicago, IL 60625",Chicago_Park_42,1899,Ward 39
16.72,Ada Park,"11250 S Ada St Chicago, IL 60643",Chicago_Park_45,1859,Ward 34
1.65,Bohn Park,"1978 W 111th St Chicago, IL 60643",Chicago_Park_46,1885,Ward 19
5.97,Crescent Park,"2230 W 108th Pl Chicago, IL 60643",Chicago_Park_47,1885,Ward 19
18.48,Kennedy Park,"11320 S Western Ave Chicago, IL 60655",Chicago_Park_48,1885,Ward 19
3.68,Prospect Gardens Park,"10970 S Prospect Ave Chicago, IL 60643",Chicago_Park_49,1885,Ward 19
0.74,Almond Park,"2234 W 115th St Chicago, IL 60643",Chicago_Park_50,1885,Ward 19
1.61,Monument Park,"6700 N Avondale Ave Chicago, IL 60631",Chicago_Park_57,1865,Ward 41
19.47,Oriole Park,"5430 N Olcott Ave Chicago, IL 60656",Chicago_Park_59,1865,Ward 41
9.75,Olympia Park,"6566 N Avondale Ave Chicago, IL 60631",Chicago_Park_60,1865,Ward 41
9.42,Brooks (Oscar) Park,"7046 N Harlem Ave Chicago, IL 60631",Chicago_Park_61,1865,Ward 41
0.83,Edison Park,"6755 N Northwest Hwy Chicago, IL 60631",Chicago_Park_62,1865,Ward 41
12.33,Fernwood Park,"10436 S Wallace St Chicago, IL 60628",Chicago_Park_65,1859,Ward 34
6.47,Euclid Park,"9800 S Parnell Ave Chicago, IL 60628",Chicago_Park_66,1859,Ward 34
0.42,Forest Glen Park,"5073 W Berwyn Ave Chicago, IL 60630",Chicago_Park_70,1899,Ward 39
7.2,Hollywood Park,"3312 W Thorndale Ave Chicago, IL 60659",Chicago_Park_75,1899,Ward 39
4.35,Athletic Field Park,"3546 W Addison St Chicago, IL 60618",Chicago_Park_80,1903,Ward 35
1.31,Avondale Park,"3516 W School St Chicago, IL 60618",Chicago_Park_81,1903,Ward 35
2.8,Jensen Park,"4600 N Lawndale Ave Chicago, IL 60625",Chicago_Park_82,1903,Ward 35
8.82,Independence Park,"3945 N Springfield Ave Chicago, IL 60618",Chicago_Park_83,1886,Ward 45
12.08,Kilbourn Park,"3501 N Kilbourn Ave Chicago, IL 60641",Chicago_Park_84,1895,Ward 30
1.03,Kolmar Park,"4143 N Kolmar Ave Chicago, IL 60641",Chicago_Park_85,1886,Ward 45
3,Mayfair Park,"4550 W Sunnyside Ave Chicago, IL 60630",Chicago_Park_86,1899,Ward 39
0.33,North Mayfair Park,"4537 W Carmen Ave Chicago, IL 60630",Chicago_Park_90,1899,Ward 39
3.07,Rosedale Park,"6312 W Rosedale Ave Chicago, IL 60646",Chicago_Park_91,1886,Ward 45
1.73,Gladstone Park,"5421 N Menard Ave Chicago, IL 60630",Chicago_Park_93,1886,Ward 45
7.96,Jefferson (Thomas) Memorial Park,"4822 N Long Ave Chicago, IL 60630",Chicago_Park_94,1886,Ward 45
4.53,Roberts Square Park,"5230 W Argyle St Chicago, IL 60630",Chicago_Park_95,1886,Ward 45
1209.98,Lincoln Park,"200 W Fullerton Pkwy Chicago, IL 60614",Chicago_Park_100,NA,NA
4.93,Chase Park,"4725 N Ashland Av Chicago, IL 60640",Chicago_Park_103,1874,Ward 47
2.68,Emmerson Park,"1820 W Granville Ave Chicago, IL 60660",Chicago_Park_104,1906,Ward 40
0.61,Goudy Square Park,"1255 N Astor St Chicago, IL 60610",Chicago_Park_105,1898,Ward 43
9.08,Hamlin Park,"3035 N Hoyne Ave Chicago, IL 60618",Chicago_Park_106,1887,Ward 32
7.2,Lake Shore Park,"254 E Chicago Ave Chicago, IL 60611",Chicago_Park_107,1894,Ward 2
8.73,Seward Park,"375 W Elm St Chicago, IL 60610",Chicago_Park_108,1905,Ward 27
6.74,Stanton Park,"640 W Scott St Chicago, IL 60610",Chicago_Park_109,1905,Ward 27
15.97,Welles Park,"2333 W Sunnyside Ave Chicago, IL 60625",Chicago_Park_110,1874,Ward 47
40.54,Loyola Park,"1230 W Greenleaf Ave Chicago, IL 60626",Chicago_Park_115,1876,Ward 49
9.01,Kosciuszko Park,"2732 N Avers Ave Chicago, IL 60647",Chicago_Park_120,1888,Ward 31
4.36,Bell Park,"3020 N Oak Park Ave Chicago, IL 60634",Chicago_Park_121,1892,Ward 36
6.88,Blackhawk Park,"2318 N Lavergne Ave Chicago, IL 60639",Chicago_Park_122,1892,Ward 36
57.49,Riis Park,"6100 W Fullerton Ave Chicago, IL 60639",Chicago_Park_123,1895,Ward 30
1.18,Simons Park,"1640 N Drake Ave Chicago, IL 60647",Chicago_Park_124,1867,Ward 26
4.9,Hermosa Park,"2240 N Kilbourn Ave Chicago, IL 60639",Chicago_Park_125,1892,Ward 36
9.92,Kelvyn Park,"4438 W Wrightwood Ave Chicago, IL 60639",Chicago_Park_126,1888,Ward 31
13.47,Rutherford Sayre Park,"6871 W Belden Ave Chicago, IL 60635",Chicago_Park_127,NA,NA
4.91,Mozart Park,"2036 N Avers Ave Chicago, IL 60647",Chicago_Park_128,1867,Ward 26
16.52,Amundsen Park,"6200 W Bloomingdale Ave Chicago, IL 60639",Chicago_Park_129,1897,Ward 29
2.3,Galewood Park,"5729 W Bloomingdale Ave Chicago, IL 60639",Chicago_Park_130,1897,Ward 29
3.3,Cragin Park,"2611 N Lockwood Ave Chicago, IL 60639",Chicago_Park_131,1888,Ward 31
4.59,Greenebaum Park,"1729 N Kildare Ave Chicago, IL 60639",Chicago_Park_132,1867,Ward 26
2.25,Pleasant Point Park,"6813 W Imlay St Chicago, IL 60631",Chicago_Park_140,1865,Ward 41
16.41,Norwood Park,"5801 N Natoma Ave Chicago, IL 60631",Chicago_Park_141,1865,Ward 41
8.66,Wilson (Frank) Park,"4630 N Milwaukee Ave Chicago, IL 60630",Chicago_Park_145,1886,Ward 45
9.28,Chopin Park,"3420 N Long Ave Chicago, IL 60641",Chicago_Park_146,1895,Ward 30
38.29,Portage Park,"4100 N Long Ave Chicago, IL 60641",Chicago_Park_147,1877,Ward 38
18.7,Shabbona Park,"6935 W Addison Chicago, IL 60634",Chicago_Park_148,1877,Ward 38
0.89,Jacob Park,"4674 N Virginia Ave Chicago, IL 60625",Chicago_Park_156,1906,Ward 40
0.23,Buffalo Park,"4500 N California Ave Chicago, IL 60625",Chicago_Park_157,1858,Ward 33
0.32,Sunken Gardens Park,"2634 W Sunnyside Ave Chicago, IL 60625",Chicago_Park_158,1874,Ward 47
0.83,Ravenswood Manor Park,"4626 N Manor Ave Chicago, IL 60625",Chicago_Park_159,1858,Ward 33
12.9,Indian Boundary Park,"2500 W Lunt Ave Chicago, IL 60645",Chicago_Park_165,1889,Ward 50
9.45,Pottawattomie Park,"7340 N Rogers Ave Chicago, IL 60626",Chicago_Park_166,1876,Ward 49
3.27,Chippewa Park,"6758 N Sacramento Ave Chicago, IL 60645",Chicago_Park_167,1889,Ward 50
0.52,Matanky Park,"6937 N Ridge Blvd Chicago, IL 60626",Chicago_Park_168,1876,Ward 49
9.82,Ridge Park,"9625 S Longwood Dr Chicago, IL 60643",Chicago_Park_175,1885,Ward 19
4.12,Cosme Park,"2100 W 91st St Chicago, IL 60620",Chicago_Park_176,1885,Ward 19
9.26,Brainerd Park,"1246 W 92nd St Chicago, IL 60620",Chicago_Park_177,1878,Ward 21
1.54,Hurley Park,"1901 W 100th St Chicago, IL 60643",Chicago_Park_178,1885,Ward 19
5.16,Graver Park,"1518 W 102nd Pl Chicago, IL 60643",Chicago_Park_179,1885,Ward 19
9.49,Revere Park,"2509 W Irving Park Rd Chicago, IL 60618",Chicago_Park_185,1874,Ward 47
29.6,River Park,"5100 N Francisco Ave Chicago, IL 60625",Chicago_Park_186,NA,NA
5.72,Brands Park,"3285 N Elston Ave Chicago, IL 60618",Chicago_Park_187,1858,Ward 33
4.1,Green Briar Park,"2650 W Peterson Ave Chicago, IL 60659",Chicago_Park_188,1906,Ward 40
14.81,California Park,"3843 N California Ave Chicago, IL 60618",Chicago_Park_189,1858,Ward 33
4.65,Sauganash Park,"5861 N Kostner Ave Chicago, IL 60646",Chicago_Park_195,1899,Ward 39
18.8,La Follette Park,"1333 N Laramie Ave Chicago, IL 60651",Chicago_Park_201,1900,Ward 37
9.3,Franklin Park,"1449 S Kolin Ave Chicago, IL 60623",Chicago_Park_202,1864,Ward 24
3.28,Holstein Park,"2200 N Oakley Ave Chicago, IL 60647",Chicago_Park_203,1887,Ward 32
175.9,Garfield Park,"100 N Central Park Dr Chicago, IL 60624",Chicago_Park_204,1896,Ward 28
4.44,Sheridan Park,"910 S Aberdeen St Chicago, IL 60607",Chicago_Park_205,1873,Ward 25
4.32,Altgeld Park,"515 S Washtenaw Ave Chicago, IL 60612",Chicago_Park_206,1896,Ward 28
3.71,Austin Town Hall Park,"5610 W Lake St Chicago, IL 60644",Chicago_Park_207,1897,Ward 29
8.85,Eckhart Park,"1330 W Chicago Ave Chicago, IL 60622",Chicago_Park_208,1905,Ward 27
140.73,Columbus Park,"500 S Central Ave Chicago, IL 60644",Chicago_Park_209,1897,Ward 29
14.24,Union Park,"1501 W Randolph St Chicago, IL 60607",Chicago_Park_210,1905,Ward 27
5.85,Skinner Park,"1331 W  Monroe St Chicago, IL 60606",Chicago_Park_211,1905,Ward 27
1.36,Shedd Park,"3660 W 23rd St Chicago, IL 60623",Chicago_Park_212,1880,Ward 22
18.58,Harrison Park,"1824 S Wood St Chicago, IL 60608",Chicago_Park_213,1873,Ward 25
4.74,Wicker Park,"1425 N Damen Ave Chicago, IL 60622",Chicago_Park_214,1893,Ward 1
7.07,Arrigo Park,"1250 W Lexington St Chicago, IL 60607",Chicago_Park_215,1896,Ward 28
6.34,Dvorak Park,"1119 W Cullerton St Chicago, IL 60608",Chicago_Park_216,1873,Ward 25
4.18,Pulaski Park,"1419 W Blackhawk St Chicago, IL 60622",Chicago_Park_217,1894,Ward 2
165.49,Douglas Park,"1401 S Sacramento Dr Chicago, IL 60623",Chicago_Park_218,NA,NA
210.85,Humboldt Park,"1400 N Humboldt Dr Chicago, IL 60622",Chicago_Park_219,1867,Ward 26
16.18,West Pullman Park,"401 W 123rd St Chicago, IL 60628",Chicago_Park_225,1859,Ward 34
6.05,Senn Park,"5887 N Ridge Ave Chicago, IL 60660",Chicago_Park_227,1872,Ward 48
58.07,Horner Park,"2741 W Montrose Ave Chicago, IL 60618",Chicago_Park_228,1858,Ward 33
14.04,Hiawatha Park,"8029 W Forest Preserve Ave Chicago, IL 60634",Chicago_Park_229,1877,Ward 38
23.93,Piotrowski Park,"4200 W 31st St Chicago, IL 60623",Chicago_Park_230,1880,Ward 22
10.66,Rosenblum Park,"2000 E 75th St Chicago, IL 60649",Chicago_Park_231,1907,Ward 8
2.95,Eckersall Park,"2430 E 82nd St Chicago, IL 60617",Chicago_Park_232,1883,Ward 7
13.31,Vittum Park,"5014 W 50th St Chicago, IL 60638",Chicago_Park_233,1880,Ward 22
17.44,Hale Park,"6140 S Melvina Ave Chicago, IL 60638",Chicago_Park_234,1869,Ward 13
9.99,Oakdale Park,"965 W 95th St Chicago, IL 60643",Chicago_Park_235,1878,Ward 21
12.32,Robinson Park,"10540 S Morgan St Chicago, IL 60643",Chicago_Park_236,1859,Ward 34
18.42,Owens Park,"2100 E 88th St Chicago, IL 60617",Chicago_Park_237,1907,Ward 8
15.96,Wentworth Park,"5625 S Mobile Ave Chicago, IL 60638",Chicago_Park_238,1869,Ward 13
16.56,Dawes Park,"8040 S Damen Av Chicago, IL 60620",Chicago_Park_239,1875,Ward 18
22.54,Rogers Park,"7345 N Washtenaw Ave Chicago, IL 60645",Chicago_Park_240,1889,Ward 50
14.87,Mather Park,"5835 N Lincoln Ave Chicago, IL 60659",Chicago_Park_241,1906,Ward 40
20.63,Hayes Park,"2936 W 85th St Chicago, IL 60652",Chicago_Park_242,1875,Ward 18
17.66,Lindblom Park,"6054 S Damen Ave Chicago, IL 60636",Chicago_Park_243,1901,Ward 16
27.9,Gately Park,"810 E 103rd St Chicago, IL 60628",Chicago_Park_244,1907,Ward 8
16.48,West Lawn Park,"4233 W 65th St Chicago, IL 60629",Chicago_Park_245,1869,Ward 13
6.68,Touhy Park,"7348 N Paulina St Chicago, IL 60626",Chicago_Park_246,1876,Ward 49
11.83,Pasteur Park,"5825 S Kostner Ave Chicago, IL 60629",Chicago_Park_247,1869,Ward 13
18.64,Rowan Park,"11546 S Avenue L Chicago, IL 60617",Chicago_Park_248,1891,Ward 10
14.03,West Chatham Park,"8223 S Princeton Ave Chicago, IL 60620",Chicago_Park_249,1878,Ward 21
14.09,Archer Park,"4901 S Kilbourn Ave Chicago, IL 60632",Chicago_Park_250,1890,Ward 14
52.63,Mount Greenwood Park,"3724 W 111th St Chicago, IL 60655",Chicago_Park_251,1885,Ward 19
13.98,Beverly Park,"2460 W 102nd St Chicago, IL 60655",Chicago_Park_254,1885,Ward 19
18.76,Carver Park,"939 E 132nd St Chicago, IL 60627",Chicago_Park_255,1870,Ward 9
9.45,Merrimac Park,"6343 W Irving Park Rd Chicago, IL 60634",Chicago_Park_256,1877,Ward 38
9.51,Wildwood Park,"6950 N Hiawatha Ave Chicago, IL 60646",Chicago_Park_257,1861,Ward 3
14.88,Dunham Park,"4640 N Melvina Ave Chicago, IL 60630",Chicago_Park_258,1877,Ward 38
25,Abbott Park,"49 E 95th St Chicago, IL 60628",Chicago_Park_259,1870,Ward 9
7.28,Kelly (Edward) Park,"2725 W 41st St Chicago, IL 60632",Chicago_Park_260,1871,Ward 12
6.75,Williams Park,"2820 S State St Chicago, IL 60616",Chicago_Park_261,1894,Ward 2
9.23,Addams (Jane) Park,"1301 W 14th St Chicago, IL 60608",Chicago_Park_262,1896,Ward 28
7.97,Lake Meadows Park,"3113 S Rhodes Ave Chicago, IL 60616",Chicago_Park_263,1882,Ward 4
14.06,Bogan Park,"3939 W 79th St Chicago, IL 60652",Chicago_Park_264,1875,Ward 18
2.48,Scottsdale Park,"4620 W 83rd Pl Chicago, IL 60652",Chicago_Park_265,1875,Ward 18
3.96,Stateway Park,"3658 S State St Chicago, IL 60609",Chicago_Park_266,1861,Ward 3
21.91,Dunbar Park,"200 E 31st St Chicago, IL 60616",Chicago_Park_267,1882,Ward 4
9.69,Durkin Park,"8441 S Kolin Ave Chicago, IL 60652",Chicago_Park_268,1875,Ward 18
5.91,Cole Park,"361 E 85th St Chicago, IL 60619",Chicago_Park_270,1902,Ward 6
9.69,Taylor Park,"100 W 47th St Chicago, IL 60609",Chicago_Park_271,1861,Ward 3
4.61,Smith (Wendell) Park,"9912 S Princeton Ave Chicago, IL 60628",Chicago_Park_272,1870,Ward 9
8.53,Lerner Park,"7000 N Sacramento Ave Chicago, IL 60645",Chicago_Park_273,1889,Ward 50
48.44,Legion Park,"3100 W Bryn Mawr Ave Chicago, IL 60659",Chicago_Park_274,NA,NA
11.97,Ronan Park,"3000 W Argyle St Chicago, IL 60625",Chicago_Park_275,NA,NA
11.47,Nichols Park,"1342 E 54th St Chicago, IL 60615",Chicago_Park_277,1882,Ward 4
3.96,Houston Park,"5001 S Cottage Grove Ave Chicago, IL 60615",Chicago_Park_278,1882,Ward 4
0.52,Elm Park,"5215 S Woodlawn Ave Chicago, IL 60615",Chicago_Park_279,1882,Ward 4
1.29,Spruce Park,"1437 E 54th St Chicago, IL 60615",Chicago_Park_280,1866,Ward 5
0.98,Erhler Park,"2230 W Cortland St Chicago, IL 60647",Chicago_Park_283,1887,Ward 32
4.97,Austin Foster Park,"6020 W Foster Ave Chicago, IL 60630",Chicago_Park_285,1886,Ward 45
2.53,Wentworth Gardens Park,"3770 S Wentworth Ave Chicago, IL 60609",Chicago_Park_286,1861,Ward 3
4.6,Cooper Park,"1332 W 117th St Chicago, IL 60643",Chicago_Park_287,1859,Ward 34
6.41,Golden Gate Park,"500 E 130th St Chicago, IL 60627",Chicago_Park_288,1870,Ward 9
6.7,Brown Memorial Park,"644 E 86th St Chicago, IL 60619",Chicago_Park_289,1902,Ward 6
0.8,South Lakeview Park,"1300 W Wolfram St Chicago, IL 60657",Chicago_Park_290,1887,Ward 32
2.81,Stout Park,"5446 S Greenwood Ave Chicago, IL 60615",Chicago_Park_291,1866,Ward 5
0.57,Coleman Park,"900 E 54th Pl Chicago, IL 60615",Chicago_Park_292,1866,Ward 5
1.44,Unity Park,"2636 N Kimball Ave Chicago, IL 60647",Chicago_Park_293,1903,Ward 35
0.35,Hasan Park,"6855 S Oglesby Ave Chicago, IL 60649",Chicago_Park_294,1866,Ward 5
0.53,Baraga Park,"2440 S Leavitt St Chicago, IL 60608",Chicago_Park_295,1873,Ward 25
1.38,Dooley Park,"3426 W 77th St Chicago, IL 60652",Chicago_Park_296,1875,Ward 18
0.25,Hickory Park,"4834 N Winthrop Ave Chicago, IL 60640",Chicago_Park_299,1860,Ward 46
12.56,Le Claire- Hearst Park,"5116 W 44th St Chicago, IL 60638",Chicago_Park_305,1880,Ward 22
0.36,Dubkin Park,"7442 N Ashland Blvd Chicago, IL 60626",Chicago_Park_306,1876,Ward 49
8.97,Minuteman Park,"5940 S Central Ave Chicago, IL 60638",Chicago_Park_307,NA,NA
0.53,Linden Park,"1139 N Pulaski Rd Chicago, IL 60651",Chicago_Park_308,1900,Ward 37
18.83,Senka Park,"5656 S St Louis Ave Chicago, IL 60629",Chicago_Park_309,1890,Ward 14
0.65,Wood Park,"2914 N Leavitt St Chicago, IL 60618",Chicago_Park_316,1887,Ward 32
12.92,Robichaux Park,"9247 S Eggleston Ave Chicago, IL 60620",Chicago_Park_320,1878,Ward 21
0.21,Aspen Park,"4237 S Wabash Ave Chicago, IL 60653",Chicago_Park_321,1861,Ward 3
0.16,Birch Park,"427 E 45th St Chicago, IL 60653",Chicago_Park_322,1861,Ward 3
0.24,Poplar Park,"4046 S Prairie Ave Chicago, IL 60653",Chicago_Park_323,1861,Ward 3
0.31,Harsh Park,"4464 S Oakenwald Ave Chicago, IL 60653",Chicago_Park_324,1882,Ward 4
0.46,Holly Park,"4052 S Ellis Ave Chicago, IL 60653",Chicago_Park_325,1882,Ward 4
0.22,Park 326,"6430 S Kenwood Ave Chicago, IL 60637",Chicago_Park_326,1884,Ward 20
0.27,Beehive Park,"6156 S Dorchester Ave Chicago, IL 60637",Chicago_Park_328,1884,Ward 20
0.17,Prairie Wolf Park,"6310 S Drexel Ave Chicago, IL 60637",Chicago_Park_329,1884,Ward 20
0.33,Flying Squirrel Park,"6600 S Woodlawn Ave Chicago, IL 60637",Chicago_Park_331,1866,Ward 5
